PERMIT_NUMBER,DATE_CREATED,PERMIT_START_DATE,PARTY_NAME,PERMIT_STATUS_NAME
2000698,08/01/2020 11:43:35,22/01/2020 09:00:33,permit_holder_a,New
2000706,08/01/2020 12:00:14,20/01/2020 10:19:07,permit_holder_b,New
2001089,21/01/2020 13:47:29,23/01/2020 17:01:19,permit_holder_b,Issued
1911264,20/12/2019 09:44:25,13/01/2020 15:18:15,permit_holder_c,Issued
2000777,10/01/2020 10:19:43,15/01/2020 13:29:31,permit_holder_c,Issued
2000833,13/01/2020 13:39:25,17/01/2020 13:39:25,permit_holder_c,Issued
2000834,13/01/2020 13:41:18,17/01/2020 15:07:06,permit_holder_c,Issued
2000835,13/01/2020 13:43:42,17/01/2020 15:08:15,permit_holder_c,Issued
2000960,17/01/2020 09:41:21,22/01/2020 11:14:20,permit_holder_c,Issued
2000699,08/01/2020 11:50:24,13/01/2020 13:26:42,permit_holder_d,Issued
2000700,08/01/2020 11:51:32,13/01/2020 13:31:35,permit_holder_d,Issued
2000701,08/01/2020 11:52:22,13/01/2020 14:46:56,permit_holder_d,Issued
2000702,08/01/2020 11:56:07,13/01/2020 14:52:42,permit_holder_d,Issued
2000704,08/01/2020 11:58:45,13/01/2020 14:57:22,permit_holder_d,Issued
2000705,08/01/2020 12:00:07,13/01/2020 15:01:23,permit_holder_d,Issued
2000707,08/01/2020 12:01:45,13/01/2020 15:05:31,permit_holder_d,Issued
2000708,08/01/2020 12:03:00,13/01/2020 15:12:12,permit_holder_d,Issued
2000866,15/01/2020 10:35:20,22/01/2020 10:35:19,permit_holder_d,New
2000954,17/01/2020 08:46:51,22/01/2020 11:06:33,permit_holder_d,Issued
2000955,17/01/2020 08:47:55,23/01/2020 11:37:20,permit_holder_d,Issued
2000975,17/01/2020 12:15:52,22/01/2020 14:52:59,permit_holder_e,New
1911249,19/12/2019 14:42:08,17/01/2020 14:59:43,permit_holder_f,Issued
1911251,19/12/2019 14:44:12,21/01/2020 16:30:48,permit_holder_f,Issued
1911252,19/12/2019 14:45:25,17/01/2020 15:01:46,permit_holder_f,Issued
1911253,19/12/2019 14:47:39,23/01/2020 11:37:27,permit_holder_f,Approved
1911254,19/12/2019 14:49:21,17/01/2020 15:05:30,permit_holder_f,Issued
2000663,07/01/2020 11:11:15,20/01/2020 13:58:54,permit_holder_g,New
2000884,15/01/2020 12:14:47,22/01/2020 12:14:47,permit_holder_h,Issued
2000897,15/01/2020 12:54:10,22/01/2020 12:54:10,permit_holder_i,Issued
2000946,16/01/2020 14:32:04,21/01/2020 14:16:50,permit_holder_i,Issued
